station_id,date,t_min,t_max,t_mean
IUNG1,2025-12-31,-3.9,0.0,-1.95
IUNG10,2024-01-01,0.0,5.1,2.55
IUNG10,2024-01-02,0.8,4.3,2.55
IUNG10,2024-01-03,2.1,7.7,4.9
IUNG10,2024-01-04,2.7,6.7,4.7
IUNG10,2024-01-05,-1.8,2.7,0.45
IUNG10,2024-01-06,-4.3,-0.2,-2.25
IUNG10,2024-01-07,-10.7,-4.4,-7.55
IUNG10,2024-01-08,-17.7,-9.3,-13.5
IUNG10,2024-01-09,-20.2,-17.3,-18.75
IUNG10,2024-01-12,-12.4,-1.7,-7.05
IUNG10,2024-01-13,-2.0,-0.9,-1.45
IUNG10,2024-01-14,-2.4,0.2,-1.1
IUNG10,2024-01-15,-1.5,0.6,-0.45
IUNG10,2024-01-16,-11.8,-0.7,-6.25
IUNG10,2024-01-17,-10.4,0.0,-5.2
IUNG10,2024-01-18,-1.4,4.6,1.6
IUNG10,2024-01-19,-5.0,-1.4,-3.2
IUNG10,2024-01-20,-5.4,0.0,-2.7
IUNG10,2024-01-21,-6.0,0.0,-3.0
IUNG10,2024-01-22,-6.7,3.3,-1.7
IUNG10,2024-01-23,0.8,2.3,1.55
IUNG10,2024-01-24,0.1,4.8,2.45
IUNG10,2024-01-25,0.9,4.8,2.85
IUNG10,2024-01-26,-0.7,0.9,0.1
IUNG10,2024-01-27,-0.7,2.5,0.9
IUNG10,2024-01-28,0.0,1.1,0.55
IUNG10,2024-01-29,-2.2,2.7,0.25
IUNG10,2024-01-30,-2.6,5.3,1.35
IUNG10,2024-01-31,-0.7,2.4,0.85
IUNG10,2024-02-01,1.0,4.3,2.65
IUNG10,2024-02-02,1.0,3.2,2.1
IUNG10,2024-02-03,1.1,8.0,4.55
IUNG10,2024-02-04,4.1,6.7,5.4
IUNG10,2024-02-05,3.7,7.3,5.5
IUNG10,2024-02-06,6.3,8.3,7.3
IUNG10,2024-02-07,1.9,8.6,5.25
IUNG10,2024-02-08,-0.7,1.9,0.6
IUNG10,2024-02-09,-0.9,0.3,-0.3
IUNG10,2024-02-10,0.0,6.9,3.45
IUNG10,2024-02-11,3.4,8.8,6.1
IUNG10,2024-02-12,6.2,9.1,7.65
IUNG10,2024-02-13,3.3,7.1,5.2
IUNG10,2024-02-14,-1.7,6.5,2.4
IUNG10,2024-02-15,-1.7,5.4,1.85
IUNG10,2024-02-16,-1.8,1.5,-0.15
IUNG10,2024-02-17,-0.7,0.0,-0.35
IUNG10,2024-02-18,-2.4,-1.7,-2.05
IUNG10,2024-02-19,-2.7,4.5,0.9
IUNG10,2024-02-20,3.8,7.2,5.5
IUNG10,2024-02-21,2.9,7.6,5.25
IUNG10,2024-02-22,4.9,10.2,7.55
IUNG10,2024-02-23,6.4,9.1,7.75
IUNG10,2024-02-24,6.7,13.5,10.1
IUNG10,2024-02-25,6.3,11.6,8.95
IUNG10,2024-02-26,6.3,15.0,10.65
IUNG10,2024-02-27,4.3,15.5,9.9
IUNG10,2024-02-28,3.8,12.7,8.25
